2023-08-14 21:54:29,044, [DEBUG], no_gui_prototype, READ OK

2023-08-14 21:54:29,044, [DEBUG], no_gui_prototype, SEND ATI
2023-08-14 21:54:30,053, [DEBUG], no_gui_prototype, READ ATI

2023-08-14 21:54:30,056, [DEBUG], no_gui_prototype, READ RFD SiK 3.57 on RFD868X

2023-08-14 21:54:30,056, [DEBUG], no_gui_prototype, SEND ATS15=1
2023-08-14 21:54:31,062, [DEBUG], no_gui_prototype, READ ATS15=1

2023-08-14 21:54:31,064, [DEBUG], no_gui_prototype, READ OK

2023-08-14 21:54:31,067, [DEBUG], no_gui_prototype, SEND AT&E=00000000000000000000000000000000
2023-08-14 21:54:32,071, [DEBUG], no_gui_prototype, READ AT&E=00000000000000000000000000000000

2023-08-14 21:54:32,086, [DEBUG], no_gui_prototype, READ key len 16

