2023-08-14 22:08:04,789, [DEBUG], no_gui_prototype, READ +++
2023-08-14 22:08:04,789, [DEBUG], no_gui_prototype, SEND ATI
2023-08-14 22:08:05,794, [DEBUG], no_gui_prototype, READ ATI
2023-08-14 22:08:06,795, [DEBUG], no_gui_prototype, READ 
2023-08-14 22:08:06,795, [DEBUG], no_gui_prototype, SEND ATS15=1
2023-08-14 22:08:07,799, [DEBUG], no_gui_prototype, READ ATS15=1
2023-08-14 22:08:07,801, [DEBUG], no_gui_prototype, READ OK
2023-08-14 22:08:07,803, [DEBUG], no_gui_prototype, SEND AT&E=01111000000000000000000000000000
2023-08-14 22:08:08,806, [DEBUG], no_gui_prototype, READ AT&E=01111000000000000000000000000000
2023-08-14 22:08:08,819, [DEBUG], no_gui_prototype, READ key len 16
