2023-08-14 21:58:34,207, [DEBUG], no_gui_prototype, READ +++
2023-08-14 21:58:34,207, [DEBUG], no_gui_prototype, SEND ATI
2023-08-14 21:58:35,211, [DEBUG], no_gui_prototype, READ ATI
2023-08-14 21:58:36,220, [DEBUG], no_gui_prototype, READ 
2023-08-14 21:58:36,220, [DEBUG], no_gui_prototype, SEND ATS15=1
2023-08-14 21:58:37,224, [DEBUG], no_gui_prototype, READ ATS15=1
2023-08-14 21:58:37,224, [DEBUG], no_gui_prototype, READ OK
2023-08-14 21:58:37,228, [DEBUG], no_gui_prototype, SEND AT&E=00000000000000000000000000000000
2023-08-14 21:58:38,231, [DEBUG], no_gui_prototype, READ AT&E=00000000000000000000000000000000
2023-08-14 21:58:38,247, [DEBUG], no_gui_prototype, READ key len 16
