2023-08-14 21:57:21,346, [DEBUG], no_gui_prototype, READ OK
2023-08-14 21:57:21,346, [DEBUG], no_gui_prototype, SEND ATI
2023-08-14 21:57:22,354, [DEBUG], no_gui_prototype, READ ATI
2023-08-14 21:57:22,356, [DEBUG], no_gui_prototype, READ RFD SiK 3.57 on RFD868X
2023-08-14 21:57:22,360, [DEBUG], no_gui_prototype, SEND ATS15=1
2023-08-14 21:57:23,362, [DEBUG], no_gui_prototype, READ ATS15=1
2023-08-14 21:57:23,362, [DEBUG], no_gui_prototype, READ OK
2023-08-14 21:57:23,367, [DEBUG], no_gui_prototype, SEND AT&E=00000000000000000000000000000000
2023-08-14 21:57:24,370, [DEBUG], no_gui_prototype, READ AT&E=00000000000000000000000000000000
2023-08-14 21:57:24,386, [DEBUG], no_gui_prototype, READ key len 16
