2023-08-14 22:05:18,546, [DEBUG], no_gui_prototype, READ +++
2023-08-14 22:05:18,546, [DEBUG], no_gui_prototype, SEND ATI
2023-08-14 22:05:19,551, [DEBUG], no_gui_prototype, READ ATI
2023-08-14 22:05:20,560, [DEBUG], no_gui_prototype, READ 
2023-08-14 22:05:20,560, [DEBUG], no_gui_prototype, SEND ATS15=1
2023-08-14 22:05:21,564, [DEBUG], no_gui_prototype, READ ATS15=1
2023-08-14 22:05:21,564, [DEBUG], no_gui_prototype, READ OK
2023-08-14 22:05:21,569, [DEBUG], no_gui_prototype, SEND AT&E=01111000000000000000000000000000
2023-08-14 22:05:22,571, [DEBUG], no_gui_prototype, READ AT&E=01111000000000000000000000000000
2023-08-14 22:05:22,576, [DEBUG], no_gui_prototype, READ key len 16
