2023-08-14 21:53:15,150, [DEBUG], no_gui_prototype, READ OK

2023-08-14 21:53:15,153, [DEBUG], no_gui_prototype, SEND ATI
2023-08-14 21:53:16,155, [DEBUG], no_gui_prototype, READ ATI

2023-08-14 21:53:16,155, [DEBUG], no_gui_prototype, READ RFD SiK 3.57 on RFD868X

2023-08-14 21:53:16,161, [DEBUG], no_gui_prototype, SEND ATS15=1
2023-08-14 21:53:17,164, [DEBUG], no_gui_prototype, READ ATS15=1

2023-08-14 21:53:17,164, [DEBUG], no_gui_prototype, READ OK

2023-08-14 21:53:17,169, [DEBUG], no_gui_prototype, SEND AT&E=00000000000000000000000000000000
2023-08-14 21:53:18,172, [DEBUG], no_gui_prototype, READ AT&E=00000000000000000000000000000000

2023-08-14 21:53:18,188, [DEBUG], no_gui_prototype, READ key len 16

