2023-08-14 22:10:15,490, [DEBUG], no_gui_prototype, READ +++
2023-08-14 22:10:15,490, [DEBUG], no_gui_prototype, SEND ATI
2023-08-14 22:10:16,495, [DEBUG], no_gui_prototype, READ ATI
2023-08-14 22:10:17,504, [DEBUG], no_gui_prototype, READ 
2023-08-14 22:10:17,504, [DEBUG], no_gui_prototype, SEND ATS15=1
2023-08-14 22:10:18,509, [DEBUG], no_gui_prototype, READ ATS15=1
2023-08-14 22:10:18,509, [DEBUG], no_gui_prototype, READ OK
2023-08-14 22:10:18,515, [DEBUG], no_gui_prototype, SEND AT&E=01111000000000000000000000000000
2023-08-14 22:10:19,517, [DEBUG], no_gui_prototype, READ AT&E=01111000000000000000000000000000
2023-08-14 22:10:19,529, [DEBUG], no_gui_prototype, READ key len 16
