2023-08-14 22:00:54,796, [DEBUG], no_gui_prototype, READ +++
2023-08-14 22:00:54,796, [DEBUG], no_gui_prototype, SEND ATI
2023-08-14 22:00:55,800, [DEBUG], no_gui_prototype, READ ATI
2023-08-14 22:00:56,803, [DEBUG], no_gui_prototype, READ 
2023-08-14 22:00:56,804, [DEBUG], no_gui_prototype, SEND ATS15=1
2023-08-14 22:00:57,807, [DEBUG], no_gui_prototype, READ ATS15=1
2023-08-14 22:00:57,807, [DEBUG], no_gui_prototype, READ OK
2023-08-14 22:00:57,811, [DEBUG], no_gui_prototype, SEND AT&E=0000000000000000000000000000000
2023-08-14 22:00:58,814, [DEBUG], no_gui_prototype, READ AT&E=0000000000000000000000000000000
2023-08-14 22:00:58,831, [DEBUG], no_gui_prototype, READ ERROR - Key length:31, Required 32
