2023-08-14 21:55:09,356, [DEBUG], no_gui_prototype, READ OK

2023-08-14 21:55:09,361, [DEBUG], no_gui_prototype, SEND ATI
2023-08-14 21:55:10,364, [DEBUG], no_gui_prototype, READ ATI

2023-08-14 21:55:10,368, [DEBUG], no_gui_prototype, READ RFD SiK 3.57 on RFD868X

2023-08-14 21:55:10,370, [DEBUG], no_gui_prototype, SEND ATS15=1
2023-08-14 21:55:11,373, [DEBUG], no_gui_prototype, READ ATS15=1

2023-08-14 21:55:11,373, [DEBUG], no_gui_prototype, READ OK

2023-08-14 21:55:11,378, [DEBUG], no_gui_prototype, SEND AT&E=00000000000000000000000000000000
2023-08-14 21:55:12,381, [DEBUG], no_gui_prototype, READ AT&E=00000000000000000000000000000000

2023-08-14 21:55:12,390, [DEBUG], no_gui_prototype, READ key len 16

